date,received,sent,allDayReceived,allDaySent
 2016-4-21,200,226,0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-0-0-52-126-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-0-0-54-146-0-0
 2016-4-22,38,116,0-0-0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-18-0-2-4-0-0,50-0-0-0-0-0-0-0-0-0-0-2-28-2-0-0-0-14-0-14-6-0-0
 2016-4-23,10,142,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-8-2-0-0
 2016-4-24,154,256,0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-110-0-0-0-6-24-0-0,0-0-0-0-0-0-0-0-0-0-0-0-4-2-20-90-0-0-0-4-34-10-0
 2016-4-25,62,88,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-8-52-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18-24-0
 2016-4-26,36,32,0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-6-20-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-2-14-0-0-0-0-0
 2016-4-27,14,8,0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-12-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-0-0-0
 2016-4-28,20,24,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-8-10-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-14-8-0
 2016-4-29,124,110,0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-2-0-0-4-8-0-18-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-20-0-0-0-4-2-0-24-0
 2016-4-30,84,88,24-0-0-0-0-0-0-6-24-0-0-0-20-0-2-0-0-0-0-6-0-0-0,30-0-0-0-0-0-0-0-10-0-0-0-0-0-2-0-0-0-0-0-0-0-0
 2016-5-1,158,162,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-128-28-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-130-30-0
 2016-5-2,50,54,0-0-0-0-0-0-0-0-6-0-10-0-14-2-0-0-0-0-16-2-0-0-0,0-0-0-0-0-0-0-0-4-0-16-0-20-0-0-0-0-6-6-2-0-0-0
 2016-5-3,16,10,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0
 2016-5-4,112,102,8-6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-28-52-2-16-0,0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-24-46-2-28-0
 2016-5-5,30,44,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-2-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-6-0-0
 2016-5-6,26,12,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-26-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0
 2016-5-7,22,30,0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-14-0-4-0-0-0,0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-22-0-6-0-0-0
 2016-5-8,58,70,0-0-0-0-0-0-0-0-0-0-0-0-50-0-6-0-0-0-0-2-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-54-0-4-4-8-0-0-0-0-0-0
 2016-5-9,34,26,22-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,16-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0
 2016-5-10,148,112,0-0-0-0-0-0-0-0-14-0-0-28-2-0-8-0-0-4-74-0-0-2-0,0-0-0-0-0-0-0-0-10-0-0-10-0-0-0-0-0-0-82-0-0-0-0
 2016-5-11,186,208,0-0-0-0-0-0-0-0-4-0-4-16-0-0-0-0-2-126-12-20-0-0-0,0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-6-128-28-34-0-0-0
 2016-5-12,152,256,0-0-0-0-0-0-0-0-0-2-0-4-98-0-0-0-0-0-0-4-0-36-0,0-0-0-0-0-0-0-0-0-0-0-2-110-0-0-0-0-0-0-0-108-36-0
